Delivery Start (CET);Delivery End (CET);AT Price (EUR);BE Price (EUR);FR Price (EUR);GER Price (EUR);NL Price (EUR);PL Price (EUR)
14.06.2024 00:00:00;14.06.2024 00:15:00;137.9;90.13;;90.13;90.13;
14.06.2024 00:00:00;14.06.2024 00:30:00;;;22.2;;;
14.06.2024 00:00:00;14.06.2024 01:00:00;;;;;;151.32
14.06.2024 00:15:00;14.06.2024 00:30:00;113.89;85.96;;85.96;85.96;
14.06.2024 00:30:00;14.06.2024 00:45:00;86.51;79.54;;79.54;79.54;
14.06.2024 00:30:00;14.06.2024 01:00:00;;;7.22;;;
14.06.2024 00:45:00;14.06.2024 01:00:00;83.8;74.1;;74.1;74.1;
14.06.2024 01:00:00;14.06.2024 01:15:00;78.6;78.6;;78.6;78.6;
14.06.2024 01:00:00;14.06.2024 01:30:00;;;6.34;;;
14.06.2024 01:00:00;14.06.2024 02:00:00;;;;;;70.6
14.06.2024 01:15:00;14.06.2024 01:30:00;74.35;74.35;;74.35;74.35;
14.06.2024 01:30:00;14.06.2024 01:45:00;69.97;69.97;;69.97;69.97;
14.06.2024 01:30:00;14.06.2024 02:00:00;;;3.14;;;
14.06.2024 01:45:00;14.06.2024 02:00:00;59.47;59.47;;59.47;59.47;
14.06.2024 02:00:00;14.06.2024 02:15:00;77.77;71.2;;71.2;71.2;
14.06.2024 02:00:00;14.06.2024 02:30:00;;;9.8;;;
14.06.2024 02:00:00;14.06.2024 03:00:00;;;;;;70.15
14.06.2024 02:15:00;14.06.2024 02:30:00;71.22;71.22;;71.22;71.22;
14.06.2024 02:30:00;14.06.2024 02:45:00;71.73;54.88;;65.01;54.88;
14.06.2024 02:30:00;14.06.2024 03:00:00;;;3.12;;;
14.06.2024 02:45:00;14.06.2024 03:00:00;59.87;39.5;;57.01;39.5;
14.06.2024 03:00:00;14.06.2024 03:15:00;68.75;65.34;;65.34;65.34;
14.06.2024 03:00:00;14.06.2024 03:30:00;;;0.45;;;
14.06.2024 03:00:00;14.06.2024 04:00:00;;;;;;85.02
14.06.2024 03:15:00;14.06.2024 03:30:00;77.77;63;;64.47;63;
14.06.2024 03:30:00;14.06.2024 03:45:00;101.81;57;;65.34;57;
14.06.2024 03:30:00;14.06.2024 04:00:00;;;-6.95;;;
14.06.2024 03:45:00;14.06.2024 04:00:00;91.74;42.9;;62.85;42.9;
14.06.2024 04:00:00;14.06.2024 04:15:00;59.1;56;;59.1;56;
14.06.2024 04:00:00;14.06.2024 04:30:00;;;-2.94;;;
14.06.2024 04:00:00;14.06.2024 05:00:00;;;;;;70.2
14.06.2024 04:15:00;14.06.2024 04:30:00;56.21;56.21;;56.21;56.21;
14.06.2024 04:30:00;14.06.2024 04:45:00;67.72;60;;67.72;60;
14.06.2024 04:30:00;14.06.2024 05:00:00;;;-4.51;;;
14.06.2024 04:45:00;14.06.2024 05:00:00;97.79;54;;68.3;54;
14.06.2024 05:00:00;14.06.2024 05:15:00;55;55;;55;55;
14.06.2024 05:00:00;14.06.2024 05:30:00;;;-0.07;;;
14.06.2024 05:00:00;14.06.2024 06:00:00;;;;;;70.41
14.06.2024 05:15:00;14.06.2024 05:30:00;56.06;56.06;;56.06;56.06;
14.06.2024 05:30:00;14.06.2024 05:45:00;73.42;66.2;;66.2;66.2;
14.06.2024 05:30:00;14.06.2024 06:00:00;;;9.76;;;
14.06.2024 05:45:00;14.06.2024 06:00:00;97.17;75.54;;75.54;75.54;
14.06.2024 06:00:00;14.06.2024 06:15:00;63.68;63.68;;63.68;63.68;
14.06.2024 06:00:00;14.06.2024 06:30:00;;;8.02;;;
14.06.2024 06:00:00;14.06.2024 07:00:00;;;;;;83.83
14.06.2024 06:15:00;14.06.2024 06:30:00;84.34;84.34;;84.34;84.34;
14.06.2024 06:30:00;14.06.2024 06:45:00;91.78;91.78;;91.78;91.78;
14.06.2024 06:30:00;14.06.2024 07:00:00;;;5.98;;;
14.06.2024 06:45:00;14.06.2024 07:00:00;95.5;87.2;;94.2;87.2;
14.06.2024 07:00:00;14.06.2024 07:15:00;96.82;96.82;;96.82;96.82;
14.06.2024 07:00:00;14.06.2024 07:30:00;;;30.65;;;
14.06.2024 07:00:00;14.06.2024 08:00:00;;;;;;97.65
14.06.2024 07:15:00;14.06.2024 07:30:00;90.08;90.08;;90.08;90.08;
14.06.2024 07:30:00;14.06.2024 07:45:00;78.12;97.1;;97.1;97.1;
14.06.2024 07:30:00;14.06.2024 08:00:00;;;6.88;;;
14.06.2024 07:45:00;14.06.2024 08:00:00;65.68;92;;106.61;92;
14.06.2024 08:00:00;14.06.2024 08:15:00;109.11;109.11;;109.11;109.11;
14.06.2024 08:00:00;14.06.2024 08:30:00;;;27.28;;;
14.06.2024 08:00:00;14.06.2024 09:00:00;;;;;;97.64
14.06.2024 08:15:00;14.06.2024 08:30:00;96.02;99.55;;99.55;99.55;
14.06.2024 08:30:00;14.06.2024 08:45:00;75.5;95;;95;95;
14.06.2024 08:30:00;14.06.2024 09:00:00;;;36.96;;;
14.06.2024 08:45:00;14.06.2024 09:00:00;36.29;86.89;;86.89;86.89;
14.06.2024 09:00:00;14.06.2024 09:15:00;104.2;104.2;;104.2;104.2;
14.06.2024 09:00:00;14.06.2024 09:30:00;;;50.04;;;
14.06.2024 09:00:00;14.06.2024 10:00:00;;;;;;85.27
14.06.2024 09:15:00;14.06.2024 09:30:00;102.01;102.01;;102.01;102.01;
14.06.2024 09:30:00;14.06.2024 09:45:00;74;74;;74;74;
14.06.2024 09:30:00;14.06.2024 10:00:00;;;41.96;;;
14.06.2024 09:45:00;14.06.2024 10:00:00;60.88;72.3;;72.3;72.3;
14.06.2024 10:00:00;14.06.2024 10:15:00;83.19;83.19;;83.19;83.19;
14.06.2024 10:00:00;14.06.2024 10:30:00;;;6.64;;;
14.06.2024 10:00:00;14.06.2024 11:00:00;;;;;;76.01
14.06.2024 10:15:00;14.06.2024 10:30:00;82.17;82.17;;82.17;82.17;
14.06.2024 10:30:00;14.06.2024 10:45:00;72.66;72.66;;72.66;72.66;
14.06.2024 10:30:00;14.06.2024 11:00:00;;;17.61;;;
14.06.2024 10:45:00;14.06.2024 11:00:00;66.03;66.03;;66.03;66.03;
14.06.2024 11:00:00;14.06.2024 11:15:00;72.22;72.22;;72.22;72.22;
14.06.2024 11:00:00;14.06.2024 11:30:00;;;7.25;;;
14.06.2024 11:00:00;14.06.2024 12:00:00;;;;;;70.94
14.06.2024 11:15:00;14.06.2024 11:30:00;68.39;68.39;;68.39;68.39;
14.06.2024 11:30:00;14.06.2024 11:45:00;64.26;62;;64.26;62;
14.06.2024 11:30:00;14.06.2024 12:00:00;;;10.21;;;
14.06.2024 11:45:00;14.06.2024 12:00:00;45.98;45.98;;45.98;45.98;
14.06.2024 12:00:00;14.06.2024 12:15:00;68.74;68;;68.74;68;
14.06.2024 12:00:00;14.06.2024 12:30:00;;;-1.61;;;
14.06.2024 12:00:00;14.06.2024 13:00:00;;;;;;70.96
14.06.2024 12:15:00;14.06.2024 12:30:00;59.75;54;;59.75;54;
14.06.2024 12:30:00;14.06.2024 12:45:00;54.71;38;;54.71;38;
14.06.2024 12:30:00;14.06.2024 13:00:00;;;3.81;;;
14.06.2024 12:45:00;14.06.2024 13:00:00;40.4;27.6;;40.4;27.6;
14.06.2024 13:00:00;14.06.2024 13:15:00;53.17;52;;53.17;52;
14.06.2024 13:00:00;14.06.2024 13:30:00;;;2.36;;;
