Delivery Start (CET);Delivery End (CET);AT Price (EUR);BE Price (EUR);FR Price (EUR);GER Price (EUR);NL Price (EUR);PL Price (EUR)
15.06.2024 00:00:00;15.06.2024 00:15:00;88.27;110;;81.02;157.7;
15.06.2024 00:00:00;15.06.2024 00:30:00;;;34.81;;;
15.06.2024 00:00:00;15.06.2024 01:00:00;;;;;;133.72
15.06.2024 00:15:00;15.06.2024 00:30:00;76.93;99.9;;74.65;122.4;
15.06.2024 00:30:00;15.06.2024 00:45:00;54.58;83.1;;60.8;116.05;
15.06.2024 00:30:00;15.06.2024 01:00:00;;;-22.81;;;
15.06.2024 00:45:00;15.06.2024 01:00:00;46.54;67;;50.32;67;
15.06.2024 01:00:00;15.06.2024 01:15:00;61.64;107;;68.09;126;
15.06.2024 01:00:00;15.06.2024 01:30:00;;;26.46;;;
15.06.2024 01:00:00;15.06.2024 02:00:00;;;;;;126.46
15.06.2024 01:15:00;15.06.2024 01:30:00;47.67;103;;60.35;112.5;
15.06.2024 01:30:00;15.06.2024 01:45:00;44.66;53.5;;38.12;113.6;
15.06.2024 01:30:00;15.06.2024 02:00:00;;;-26.46;;;
15.06.2024 01:45:00;15.06.2024 02:00:00;41.93;17;;12.39;99;
15.06.2024 02:00:00;15.06.2024 02:15:00;55.72;144;;52.98;115.1;
15.06.2024 02:00:00;15.06.2024 02:30:00;;;15.45;;;
15.06.2024 02:00:00;15.06.2024 03:00:00;;;;;;126.46
15.06.2024 02:15:00;15.06.2024 02:30:00;44.56;77.7;;38.38;105;
15.06.2024 02:30:00;15.06.2024 02:45:00;37.23;3;;25.02;85.1;
15.06.2024 02:30:00;15.06.2024 03:00:00;;;-35.45;;;
15.06.2024 02:45:00;15.06.2024 03:00:00;36.58;6.05;;15.91;78;
15.06.2024 03:00:00;15.06.2024 03:15:00;57.42;28.21;;40.02;97;
15.06.2024 03:00:00;15.06.2024 03:30:00;;;12.91;;;
15.06.2024 03:00:00;15.06.2024 04:00:00;;;;;;126.46
15.06.2024 03:15:00;15.06.2024 03:30:00;42.75;61;;25.04;101.3;
